## Kumamoto+19 reduced to (γ, M); natural Josephine peridotite — case 7 input.
## Generated from raw_Kumamoto_etal_2019_JGR.csv.
gamma_simple,M,sample,shear_zone
0,0.14,JP10-M15,SZA
0.07,0.08,JP10-M14,SZA
0.31,0.11,JP10-M13,SZA
0.84,0.11,JP10-M12,SZA
1.36,0.03,JP10-M11,SZA
2.99,0.1,JP10-M10,SZA
8.88,0.11,JP10-M09,SZA
11.4,0.14,JP10-M06,SZA
20,0.11,JP10-M08,SZA
20,0.05,JP10-M08-KK,SZA
0,0.08,JP08-PS01,SZG
20,0.26,3925-G02,SZG
20,0.13,3925-G02-f,SZG
0,0.08,3923-J01,SZP
0.32,0.06,3923-J06,SZP
0.32,0.17,3923-J07,SZP
0.65,0.06,3923-J11,SZP
0.81,0.09,3923-J08,SZP
0.81,0.14,3923-J09,SZP
1.18,0.11,3923-J13,SZP
1.37,0.07,3923-J14,SZP
1.68,0.1,3924-J10,SZP
2.58,0.23,3924-J05,SZP
2.58,0.16,3924-J06,SZP
3.37,0.15,3924-J03a,SZP
3.37,0.34,3924-J03b,SZP
3.86,0.11,3924-J09a,SZP
3.86,0.13,3924-J09b,SZP
5.25,0.27,3924-J07,SZP
5.25,0.16,3924-J08,SZP
